Type,ID,Title,S1,S2,S3,S4,S5,S6,S7,S8,Sentence
P0281,1,十大低糖水果排行榜,发胖,,,,,,,,又想吃水果，又担心发胖，还要关心自己的血糖高低，那有哪些水果是低糖的 呢
P0888,2,肚子越大，脑子越小？肚子大可能“藏”着这些风险,腹型肥胖,腹型肥胖与高血压关系密切,,,,,,,尤其是腹型肥胖与高血压关系密切
P1010,3,身材决定寿命？研究发现：活过80岁的老人，身材大多有两个特征,微胖,微胖更长寿,,,,,,,为什么微胖更长寿呢
P0921,4,“胖死”成真！欧洲人拿什么拯救失控的体重…连“小瘦子”法国人都“膨胀”了？,比较“肥美”,“丰乳肥臀,性感女神们,让人过目不忘、垂涎不已,,,,,在多数人的印象中，欧洲人比较“肥美”，“丰乳肥臀”的性感女神们更是让人过目不忘、垂涎不已
P1015,5,这4 种食物，“自带”黄体酮，女人 45 岁后要多吃，利于皮肤有弹性,热量高,长胖,,,,,,,3、黑米 现在很多人都不喜欢吃米饭，一方面 是担心热量高长胖，另一方面也是担心血 糖升高，但是女性不能不吃碳水，所以把 白米饭切换成黑米就是很好的选择
P0338,6,吴秀波退圈5年后称被骗破产 身材发福气质不再,身材发福,大腹便便,,,,,,,身材发福，大腹便便，穿着依然时髦得体
P1059,7,“重”视体重，“轻”松生活：肥胖问题我们说清楚,放任,长胖,,,,,,,正确的做法是：从小建立健康饮食习惯和规律运动，而不是放任“长胖”
P0885,8,职场有毒！24岁华人妹子上班1年增重40斤！辞职后的变化震惊全球网友…,城市化与人口流动,发胖,,,,,,,城市化与人口流动正是导致中国上班族发胖的两大因素
P0568,9,"最严重的青少年肥胖爆发:中国胖娃3000万,速度罕见",肥胖孩子,,,,,,,,在刘云曼的印象中，内分泌科、儿保科就有肥胖孩子，不过前来就诊的，主要都是学龄 儿童
P1043,10,那些一胖就胖肚子的人，后来都怎么样了？,腹部赘肉堆积,表层危害,代谢迟缓、内脏机能异常，肝功能衰退以及引发心脏病、高血压等心脑血管疾病,,,,,,过多的内脏脂肪会让腹部赘肉堆积，但这只是表层危害，它还会让代谢迟缓、内脏机能异常，肝功能衰退以及引发心脏病、高血压等心脑血管疾病
P1047,11,郑爽近照曝光:身材发福 穿名牌染黄发变精神小妹,变胖,,,,,,,,从郑爽变胖来看，也 间接辟谣了“天生瘦”体质的说法，说明这些标签只不过为了明星人设服务，退圈就崩了
P0453,12,少女成長的轉折點, 过胖,"导致少女月经异常,甚至引起月经不来",,,,,,,"少女成长的转折点 过胖或过瘦也都是导致少女月经异常,甚至引起月经不来的常见原因"
P0048,13,200斤女孩为美狂瘦至90斤 ！要么瘦，要么死,短期内的暴肥,,,,,,,,她也尝试过ALL IN（一种治疗ED的饮食方法，即想吃就吃，想吃什么吃什么），但身体完全承受不了过载的营养，短期内的暴肥和水肿更是折磨
P1009,14,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,中心型肥胖,,,,,,,,4、腰臀比 腰臀比（腰围/臀围）能反映中心型肥胖的程度
P0658,15,潘玮柏大走钟「胖到看不见脖子」 网笑：应该改名叫「潘玮厚」,他嘴怎么这么馋,他的脖子呢,,,,,,,」、「来香港吧，线在这款比较吃香」、「他嘴怎么这么馋」、「他的脖子呢
P0731,16,"澳洲超市最受欢迎的超级水果, 竟能解决困扰无数人的问题! $2就能买到",腹部肥胖,,,,,,,,这里腹部肥胖有明确标准，女性腰围达到或超过35英寸，男性达到或超过40英寸
P1059,17,“重”视体重，“轻”松生活：肥胖问题我们说清楚,女性更容易胖,是因为激素吗,,,,,,,❓问：女性更容易胖，是因为激素吗
P0087,18,一个月只吃赛百味，小哥成功减肥：做对这些，快餐瘦身比吃药快8倍,容易发胖,碳酸饮料，饼干，白面包...,,,,,,,无论如何，减肥的首要目的，应该是健康， 而弗里亚斯也通过肉测把容易发胖且没营养的选项给大家列出来了：碳酸饮料，饼干，白面包...
P1098,19,韩庚演唱会被嘲吃相难看！脸僵像王阳身材像黄渤，舞都跳不动了,壮硕发福的身材,,,,,,,,只能说他现在壮硕发福的身材再加上这套黑西装，越来越像黄渤了，有种公司团建 聚会，小组长喝多了，KTV给老板露一手的感觉
P0949,20,被傳復胖 賈玲生日照曝光,复胖的迹象,,,,,,,,贾玲一点也没有复胖的迹象
P0192,21,侮辱or玩笑？华人也在用的“修图神器”引发争议，已紧急下架,变胖,,,,,,,,大家拿自己的胖瘦对比图，来激励或者是恐吓自己，不要变胖
P0870,22,【美女】163cmD杯女私教，身材超100分，根本顶不住啊,微胖,极品身材,,,,,,,网友：这大概就是微胖中的极品身材
P1076,23,"阿娇2个月内体重如过山车,最新巡演体重失控又复胖",胖成了现在这样,着实令人意外,,,,,,,但这才过去没多久的时间，阿娇就胖成了现在这样，着实令人意外，不知道是不是和最近的小三风波有关
P0100,24,七成高血压归因于“胖”！这种肥胖类型最危险……,腰粗,威胁,血压升高,,,,,,门诊中，不少患者因血压升高前来就诊，寻找病因，其中不少人认为是生活工作压力大导致的，其实肥胖、腰粗的威胁更大
P0867,25,【美女】35岁翘臀姐姐，竟泡走26岁小鲜肉，这“水蜜桃“身材我沦陷了...,发胖,各种嫌弃和嘲讽,,,,,,,经历发胖＋抑郁的她，迎来的不是老公的安慰和鼓励，而是各种嫌弃和嘲讽
P0643,26,海航管控空姐体重:超重10%立即停飞 律师:违法,体型偏胖,就业歧 视,剥夺…空乘正常工作的权利,丝毫没有尊重,,,,,“如果纯粹因为视觉审美的考虑就剥夺体型偏胖的空乘正常工作的权利，这绝对是就业歧 视，出台、执行这样的规定对于作为劳动者的空乘，丝毫没有尊重
P0145,27,中年因“发福”变“大妈”？网友：不同阶段不同美，别身材焦虑,中年因‘发福,’变‘大妈’,,,,,,,“中年因‘发福’变‘大妈’
P1063,28,重马胖女孩”意外出圈 曾是8块腹肌“追风少女”,胖女孩,,,,,,,,”“重马胖女孩”也因此迅速走红，她的社交媒体账号也被挖出，名叫“健身女货在路上”
